iter	Passed	Remaining
219	526	1865
220	527	1858
221	528	1852
222	530	1847
223	532	1845
224	534	1841
225	536	1836
226	538	1832
227	539	1825
228	541	1821
229	542	1814
230	544	1813
231	546	1808
232	547	1801
233	548	1795
234	549	1788
235	550	1782
236	551	1776
237	552	1769
238	554	1764
239	556	1762
240	558	1758
241	559	1751
242	560	1745
243	561	1739
244	564	1738
245	566	1736
246	568	1732
247	570	1729
248	572	1726
249	573	1721
250	576	1719
251	577	1714
252	578	1708
253	579	1703
254	582	1700
255	583	1696
256	585	1691
257	586	1685
258	588	1683
259	589	1678
260	590	1672
261	591	1666
262	592	1660
263	594	1658
264	595	1652
265	597	1648
266	598	1644
267	601	1641
268	602	1636
269	603	1630
270	604	1625
271	607	1625
272	609	1622
273	610	1618
274	611	1613
275	613	1610
276	615	1605
277	616	1599
278	618	1598
279	620	1595
280	621	1590
281	622	1586
282	624	1582
283	626	1580
284	628	1577
285	629	1572
286	630	1566
287	633	1567
288	635	1563
289	637	1561
290	639	1557
291	642	1556
292	643	1551
293	646	1552
294	647	1547
295	648	1542
296	651	1541
297	653	1538
298	654	1534
299	655	1529
300	657	1525
301	660	1526
302	661	1521
303	662	1516
304	663	1511305	662	1503
306	664	1499
307	666	1497
308	669	1497
309	671	1494
310	673	1491
311	674	1487
312	677	1486
313	678	1482
314	679	1478
315	682	1477
316	684	1474
317	685	1470
318	687	1466
319	689	1464
320	689	1459
321	691	1454
322	692	1451
323	694	1449
324	696	1447
325	699	1445
326	700	1442
327	702	1438
328	703	1434
329	705	1431
330	707	1429
331	708	1425
332	711	1424
333	712	1419
334	715	1420
335	716	1416
336	718	1413
337	720	1411
338	723	1410
339	724	1405
340	725	1402
341	727	1400
342	729	1397
343	730	1393
344	733	1392
345	734	1387
346	735	1384
347	736	1379
348	739	1379
349	740	1374
350	741	1371
351	744	1370
352	746	1367
353	747	1364
354	748	1359
355	752	1361
356	755	1360
357	758	1359
358	760	1357
359	762	1354
360	764	1352
361	765	1349
362	767	1346
363	768	1342
364	769	1338
365	771	1336
366	772	1333
367	774	1329
368	775	1326
369	777	1324
370	778	1319
371	779	1316
372	781	1313
373	784	1313
374	785	1309
375	788	1308
376	790	1306
377	791	1302
378	793	1299
379	794	1295
380	795	1291
381	796	1288
382	797	1285
383	798	1281
384	800	1279
385	801	1275
386	803	1272
387	804	1269
388	806	1266
389	808	1263
3390	809	1261391	810	1257
392	813	1255
393	814	1252
3394	816	1250395	817	1247
396	818	1243
397	820	1240
398	821	1238
3399	824	12364400	825	12324401	827	1230402	829	1228
403	831	1226
404	832	1222
405	835	1222
406	836	1219
407	838	1216
408	840	1214
4409	843	1213410	843	1209
411	848	1210
412	849	1208
413	851	1205
414	853	1203
415	854	1200
4416	856	1197
417	860	1198
418	862	1196
419	864	1193
420	867	1193
421	868	1189
422	870	1187
423	874	1187
424	876	1185
425	879	1185
426	882	1183
427	883	1180
428	887	1181
429	888	1178
430	889	1174
431	891	1172
432	894	1171
433	895	1167
434	896	1164
435	898	1162
436	901	1161
437	902	1158
438	905	1157
439	908	1156
440	911	1155
441	912	1152
442	914	1150
443	917	1149
444	919	1146
445	920	1143
446	921	1140
447	926	1141
448	928	1139
449	929	1135
450	931	1133
451	932	1130
452	934	1128
453	936	1126
454	939	1125
455	940	1121
456	943	1121
457	945	1119
458	948	1117
459	949	1115
460	951	1111
461	952	1108
462	954	1107
463	957	1106
464	958	1103
465	962	1103
466	965	1101
467	966	1098
468	967	1094
469	969	1093
470	970	1090
471	971	1087
472	973	1084
473	974	1081
474	975	1078
475	976	1074
476	977	1071
477	978	1068
478	979	1065
479	982	1064
480	984	1062
481	986	1060
482	987	1057
483	988	1054
484	989	1051
485	991	1048
486	993	1046
487	994	1043
488	996	1040
489	997	1037
490	998	1034
491	999	1031
492	1000	1028
493	1001	1025
494	1003	1023
495	1004	1020
496	1006	1018
497	1008	1016
498	1009	1013
499	1010	1010
500	1012	1008
501	1016	1008
502	1020	1007
503	1021	1004
504	1022	1001
505	1023	998
506	1026	997
507	1028	996
508	1032	996
509	1035	994
510	1036	991
511	1037	988
512	1039	987
513	1041	984
514	1042	982
515	1044	980
516	1046	977
517	1048	976
518	1049	973
519	1051	970
520	1052	967
521	1053	964
522	1055	962
523	1058	961
524	1060	959
525	1061	956
526	1064	955
527	1065	952
528	1066	949
529	1068	947
530	1071	946
531	1072	943
532	1073	940
533	1076	939
534	1078	937
535	1079	934
536	1081	932
537	1082	929
538	1084	927
539	1086	925
540	1087	922
541	1089	920
542	1090	918
543	1092	915
544	1093	913
545	1095	911
546	1097	908
547	1098	906
548	1102	905
549	1104	903
550	1105	900
551	1106	898
552	1108	895
553	1109	893
554	1110	890
555	1111	887
556	1112	884
557	1114	882
558	1115	879
559	1116	877
560	1120	876
561	1121	874
562	1124	872
563	1125	870
564	1126	867
565	1128	865
566	1131	864
567	1134	863
568	1136	861
569	1138	858
570	1142	858
571	1145	857
572	1146	854
573	1147	851
574	1150	850
575	1151	847
576	1153	845
577	1155	843
578	1157	841
579	1159	839
580	1160	836
581	1160	833
582	1164	833
583	1166	830
584	1168	828
585	1170	826
586	1171	824
587	1172	821
588	1173	818
589	1176	817
590	1177	814
591	1178	812
592	1179	809
593	1181	807
594	1183	805
595	1185	803
596	1186	800
597	1192	801
598	1194	799
599	1196	797
600	1197	795
601	1199	793
602	1200	790
603	1201	787
604	1202	785
605	1203	782
606	1205	780
607	1207	778
608	1208	775
609	1209	773
610	1210	770
611	1212	768
612	1214	766
613	1216	764
614	1219	763
615	1221	761
616	1222	759
617	1223	756
618	1225	754
619	1227	752
620	1229	750
621	1232	748
622	1233	746
623	1235	744
624	1236	742
625	1238	739
626	1240	738
627	1241	735
628	1242	733
629	1244	730
630	1246	728
631	1247	726
632	1248	723
633	1251	722
634	1253	720
635	1254	718
636	1256	716
637	1257	713
638	1259	711
639	1260	708
640	1263	707
641	1265	705
642	1266	703
643	1269	701
644	1270	699
645	1272	697
646	1273	694
647	1275	692
648	1277	690
649	1278	688
650	1280	686
651	1283	685
652	1285	682
653	1286	680
654	1288	678
655	1289	676
656	1291	674
657	1292	672
658	1296	671
659	1298	668
660	1299	666
661	1303	665
662	1308	665
663	1309	662
664	1310	660
665	1312	657
666	1315	656
667	1316	654
668	1318	652
669	1321	650
670	1322	648
671	1323	646
672	1324	643
673	1327	642
674	1328	639
675	1331	638
676	1332	635
677	1334	633
678	1335	631
679	1338	630
680	1340	627
681	1341	625
682	1342	623
683	1346	621
684	1347	619
685	1348	617
686	1350	615
687	1352	613
688	1354	611
689	1357	609
690	1360	608
691	1362	606
692	1364	604
693	1365	602
694	1367	600
695	1368	597
696	1371	596
697	1372	593
698	1373	591
699	1374	589
700	1376	587
701	1378	585
702	1381	583
703	1382	581
704	1384	579
705	1386	577
706	1388	575
707	1390	573
708	1393	571
709	1396	570
710	1399	568
711	1400	566
712	1401	564
713	1403	562
714	1405	560
715	1409	559
716	1411	557
717	1414	555
718	1415	553
719	1416	550
720	1417	548
721	1419	546
722	1420	544
723	1422	542
724	1425	540
725	1427	538
726	1429	536
727	1430	534
728	1432	532
729	1434	530
730	1435	528
731	1436	526
732	1440	524
733	1442	522
734	1443	520
735	1444	518
736	1446	516
737	1447	514
738	1449	511
739	1452	510
740	1453	508
741	1454	505
742	1456	503
743	1459	502
744	1461	500
745	1463	498
746	1466	496
747	1466	494
748	1467	491
749	1469	489
750	1470	487
751	1472	485
752	1473	483
753	1475	481
754	1476	479
755	1478	477
756	1480	475
757	1482	473
758	1484	471
759	1485	469
760	1486	466
761	1488	464
762	1492	463
763	1493	461
764	1494	459
765	1497	457
766	1498	455
767	1501	453
768	1503	451
769	1505	449
770	1508	447
771	1509	445
772	1511	443
773	1512	441
774	1515	439
775	1517	437
776	1519	436
777	1520	433
778	1522	431
779	1524	429
780	1525	427
781	1528	425
782	1529	423
783	1532	422
784	1535	420
785	1536	418
786	1538	416
787	1540	414
788	1541	412
789	1543	410
790	1546	408
791	1548	406
792	1549	404
793	1550	402
794	1552	400
795	1554	398
796	1555	396
797	1556	393
798	1558	392
799	1559	389
800	1562	388
801	1563	386
802	1566	384
803	1568	382
804	1569	380
805	1571	378
806	1573	376
807	1575	374
808	1575	372
809	1579	370
810	1581	368
811	1582	366
812	1584	364
813	1587	362
814	1588	360
815	1591	358
816	1593	356
817	1594	354
818	1596	352
819	1597	350
820	1598	348
821	1599	346
822	1601	344
823	1602	342
824	1604	340
825	1605	338
826	1607	336
827	1609	334
828	1610	332
829	1611	330
830	1613	328
831	1615	326
832	1617	324
833	1617	322
834	1619	319
835	1620	317
836	1623	316
837	1625	314
838	1629	312
839	1631	310
840	1632	308
841	1636	306
842	1636	304
843	1637	302
844	1638	300
845	1639	298
846	1641	296
847	1643	294
848	1645	292
849	1648	290
850	1651	289
851	1653	287
852	1654	285
853	1656	283
854	1659	281
855	1663	279
856	1664	277
857	1665	275
858	1668	273
859	1670	271
860	1671	269
861	1673	267
862	1675	265
863	1681	264
864	1682	262
865	1684	260
866	1687	258
867	1688	256
868	1689	254
869	1690	252
870	1692	250
871	1694	248
872	1695	246
873	1696	244
874	1699	242
875	1701	240
876	1703	238
877	1704	236
878	1705	234
879	1706	232
880	1707	230
881	1709	228
882	1712	226
883	1714	225
884	1716	223
885	1718	221
886	1719	219
887	1720	216
888	1721	214
889	1723	212
890	1724	211
891	1726	209
892	1729	207
893	1731	205
894	1732	203
895	1732	201
896	1734	199
897	1736	197
898	1737	195
899	1738	193
900	1739	191
901	1740	189
902	1743	187
903	1745	185
904	1746	183
905	1749	181
906	1750	179
907	1751	177
908	1752	175
909	1753	173
910	1754	171
911	1755	169
912	1756	167
913	1758	165
914	1761	163
915	1762	161
916	1763	159
917	1764	157
918	1765	155
919	1766	153
920	1767	151
921	1768	149
922	1769	147
923	1770	145
924	1771	143
925	1773	141
926	1774	139
927	1775	137
928	1776	135
929	1777	133
930	1779	131
931	1780	129
932	1781	127
933	1782	125
934	1785	124
935	1786	122
936	1787	120
937	1788	118
938	1791	116
939	1792	114
940	1793	112
941	1794	110
942	1795	108
943	1796	106
944	1797	104
945	1798	102
946	1799	100
947	1800	98
948	1801	96
949	1802	94
950	1803	92
951	1804	90
952	1805	89
953	1806	87
954	1807	85
955	1808	83
956	1809	81
957	1810	79
958	1811	77
959	1811	75
960	1813	73
961	1814	71
962	1815	69
963	1815	67
964	1816	65
965	1817	63
966	1819	62
967	1820	60
968	1821	58
969	1822	56
970	1823	54
971	1824	52
972	1825	50
973	1826	48
974	1827	46
975	1827	44
976	1828	43
977	1829	41
978	1830	39
979	1831	37
980	1832	35
981	1833	33
982	1833	31
983	1834	29
984	1835	27
985	1836	26
986	1837	24
987	1838	22
988	1839	20
989	1840	18
990	1841	16
991	1842	14
992	1843	12
993	1844	11
994	1845	9
995	1845	7
996	1846	5
997	1847	3
998	1848	1
999	1850	0
