iter	MultiClass
0	1.037731291	1	0.970104029222	0.921220862333	0.86702238
4	0.817878307
5	0.7703422866
6	0.7367288354
7	0.7006420609
8	0.6651163657
9	0.6331788027
10	0.5981964487
11	0.5711692837
12	0.5490227945
13	13	0.5005382314	14	0.4768539315	15	0.4548637816	16	0.4364740917	17	0.4221373518	0.4300612604
19	0.4144428539
20	0.3970848384
21	0.3853907832
22	0.3702699855
223	0.3645776129224	0.3515689692525	0.3409852563
26	0.3309879927	27	0.3216528854
28	0.3120161028
29	0.3015678230	30	0.2953909804
31	0.2874696332	32	0.2798504533	33	0.27369032334	0.2670009301335	0.2596281714336	0.2531766097337	0.2475504994
38	0.2424766254
39	0.2364795223
40	0.2308930744141	0.2255742694242	0.2221790843	43	0.2173649444	0.1935920356
45	45	0.2080576046	0.1856332556
47	47	0.197389634848	0.19302659549	0.1836156355
5050	0.1854352165151	0.1813938645252	0.1787468275353	0.1753580025454	0.171533625555	0.1687026428
56	0.1660478609
57	0.1623415773
58	0.1592210916
59	0.1557662460	60	0.1530612537
61	0.1509266967
62	0.148843463	063	0.145038964	064	0.143046465	665	0.141025166	666	0.1384071009
67	0.136101051668	0.132666315
69	0.1222349270	70	0.1199795971	71	0.1184546172	72	0.1242858673	73	0.1217171774	0.1195792593
75	0.1180956133
76	0.1167082329
77	0.1150949819
78	0.1131700544
79	0.1118566009
80	0.1100273712
81	0.1084974954
82	0.1071990693
83	0.1056074383
84	0.1042034456
85	0.1026468734
86	0.1016806018
87	87	0.09896347988	88	0.09769557189	89	0.09612571690	90	0.09469831591	91	0.09353751192	0.09336298424
93	93	0.09114240994	0.09088219809
95	0.08993048494
96	0.08890736276
97	0.08764810294
98	98	0.08528869699	0.0853127809
100	0.08431159567
101	0.08335385723
102	0.08202612721
103	0.08078752214
104	0.07970992869
105	0.07884237674
106	0.07789772956
107	0.07107	0.0725108	0.07108	0.0715109	0.07109	0.0707110	0.07110	0.0700012927
111	0.06916993315
112	0.06840185879
113	0.06773681105
114	0.06681047249
115	0.06595922215
116	0.0650117	0.0117	0.06444118	0.118	0.063618119	0.06735858924
120	0.066644247411121	0.121	0.061607122	0.122	0.060761123	0.123	0.060271124	0.124	0.05972657647
125	0.05910792949
126	0.05845007198
127	0.05797128	0.0128	0.05747460213
129	0.0569803759
130	0.05627398401
131	0.05576956771
132	0.0552417133	0133	0.0547134134	0134	0.0542135135	0135	0.0538136136	0136	0.0533137137	0.056294439138	0.05520803446
139139	0.055042191140	0.05426302718
141	0.05378576021
142	0.05339847347
143	0.05301423972
144	0.05252001652
145	0.05213374716
146	0.05150244077
147	0.05116857989
148	0.05071711307
149	0.05035183291
150	0.04990592471
151	0.0495154547
152	0.04911818829
153	0.04859845516
154	0.04826922767
155	0.04786037106
156	0.04750800439
157	0.04711425987
158	0.04676284181
159	0.04639966038
160	0.04601014396
161	0.04570589759
162	0.04534857949
163	0.04497655076
164	0.04454290047
165	0.04429530514
166	0.04393193344
167	0.04366491148
168	0.04337677126
169	0.04305840559
170	0.0427517665
171	0.04244358038
172	0.04215178946
173	0.04184621968
174	0.04144545834
175	0.0411469162
176	0.04085487429
177	0.04061517038
178	0.04034859943
179	0.04007216643
180	0.03981684536
181	0.03956671296
182	0.03918658219
183	0.03892749585
184	0.03863596736
185	0.03840274645
186	0.03814656566
187	0.037944105
188	0.0377086624
189	0.03740086859
190	0.03717221523
191	0.03694956648
192	0.03670297935
193	0.03644018522
194	0.03622575103
195	0.03590720109
196	0.03567139181
197	0.03536318953
198	0.03513635346
199	0.03491519167
200	0.03465410956
201	0.03441762108
202	0.034122999
203	0.03389952305
204	0.03369546356
205	0.03349205974
206	0.03323378271
207	0.03305375994
208	0.0327865083
209	0.03258150712
210	0.0323156732
211	0.03212763126
212	0.03192290948
213	0.03178439242
214	0.03162414887
215	0.03141536611
216	0.03123728229
217	0.03107706251
218	0.03090717444
219	0.03071436383
220	0.03056133455
221	0.03036622313
222	0.03012488722
223	0.02995102938
224	0.02977567676
225	0.02960629661
226	0.02944622534
227	0.02921584094
228	0.02905235182
229	0.02889991379
230	0.02869334879
231	0.02854775115
232	0.02834733502
233	0.02817581349
234	0.02806731416
235	0.02791067657
236	0.02776944149
237	0.02762054505
238	0.02750064282
239	0.02737399964
240	0.02718287786
241	0.0270605222
242	0.02690240194
243	0.02678025858
244	0.02664886816
245	0.02653010979
246	0.02639721975
247	0.02626639246
248	0.02616695705
249	0.02602377867
250	0.02591314812
251	0.02579005244
